en,zh,note
Link,林克,名字框默认名；zel_00/898 固定写「林克」
Epona,伊波娜,名字框默认名；zel_00/899 固定写「伊波娜」
Zelda,塞尔达,
Midna,米多娜,
Ilia,伊莉娅,
Colin,科林,
Rusl,摩伊,
Telma,托尔玛,
Ralis,拉尔斯,
Renado,雷纳德,
Barnes,邦兹,
Malo,玛罗,
Talo,塔罗,
Beth,贝丝,
Agitha,凤蝶,
Zant,藏特,
Darbus,达鲁波斯,
Shad,夏德,
Auru,拉夫雷尔,
Fyer,费舍,
Ooccoo,阿姨,
Gor Coron,堂·格罗内,鼓隆族长老
Gor Ebizo,堂·艾比佐,鼓隆族长老
Goron,鼓隆族,
Zora,卓拉族,
Hylian,海利亚,
Oocca,天空人,
Cucco,咕咕鸡,
Poe,幽灵,
Hero,勇者,
Princess,公主,
Hyrule,海拉鲁,
Hyrule Castle,海拉鲁城堡,
Hyrule Field,海拉鲁平原,
Hyrule Castle Town,海拉鲁城邑,
Castle Town,城邑,
Kakariko Village,卡卡利科村,
Kakariko Gorge,卡卡利科峡谷,
Ordon,陌默,
Ordon Village,陌默村,
Ordon Ranch,陌默牧场,
Ordon Spring,陌默之泉,
Lake Hylia,海利亚湖,
Death Mountain,死亡之山,
Faron Woods,费罗尼森林,
Faron Province,费罗尼地区,
Eldin Province,奥尔汀地区,
Bridge of Eldin,奥尔汀大桥,
Lanayru Province,拉聂尔地区,
Zora's Domain,卓拉领地,
Zora's River,卓拉河,
Gerudo Desert,格鲁德沙漠,
Snowpeak,雪山之巅,
Snowpeak Top,雪山之巅峰,
Snowpeak Ruins,雪山废墟,
Sacred Grove,森之圣域,
Forest Temple,森之神殿,
Lakebed Temple,湖底神殿,
Arbiter's Grounds,沙漠刑场,
Goron Mines,鼓隆矿山,
Mirror Chamber,藏镜处,
Palace of Twilight,影之宫殿,
City in the Sky,天空都市,
Hidden Village,忘却之村,
Twilight Realm,黄昏之地,
Master Sword,大师之剑,
Ordon Sword,陌默之剑,
Wooden Sword,木刀,
Ordon Shield,陌默盾,
Wooden Shield,木盾,
Hylian Shield,海利亚盾,
Hero's Bow,勇者之弓,
Slingshot,弹弓,
Clawshot,钩爪,
Double Clawshots,双钩爪,
Gale Boomerang,疾风飞旋镖,
Spinner,齿轮陀螺,
Dominion Rod,操纵杖,
Lantern,提灯,
Lantern Oil,灯油,
Fishing Rod,钓竿,
Bomb Bag,炸弹袋,
Bombs,炸弹,
Water Bombs,水中炸弹,
Bomblings,袖珍炸弹虫,
Small Key,小钥匙,
Big Key,首领房间的钥匙,
Iron Boots,铁靴,
Zora Armor,卓拉服,
Magic Armor,魔法铠甲,
Red Potion,红药水,
Blue Potion,蓝药水,
Heart Container,心之容器,
Piece of Heart,心之碎片,
Chu Jelly,丘丘胶,
Red Chu Jelly,红色丘丘胶,
Blue Chu Jelly,蓝色丘丘胶,
Rare Chu Jelly,珍贵丘丘胶,
Vessel of Light,光之容器,
Tear of Light,光之滴,
Shadow Crystal,影咒结晶,
Fused Shadow,影的结晶石,
Mirror of Twilight,阴影之镜,
Mirror Shard,阴影之镜的碎片,
Ancient Sky Book,天空的古书,
Filled Sky Book,解封的古书,
Sky Writing,天空文字,
Hawkeye,鹰眼,
Quest Log,旅程记录,
Hidden Skill,秘技,
Great Fairy's Tears,大精灵之泪,
Fairy's Tears,大精灵之泪,
Golden Bugs,金色昆虫,
Poe Souls,幽灵之魂,
Bee Larva,蜂蛹,
Hylian Loach,海拉鲁泥鳅,
Milk,牛奶,
Rupee,卢比,
Sol,索尔,
Malo Mart,玛罗商店,
Memory Card,存储卡,
Wii System Memory,系统存储器,
Data Management,数据管理,
Wii Remote,Wii控制器,
Nunchuk,双节棍手柄,
POWER Button,电源按钮,官中在整句里写作「请勿切断游戏机电源」
START,开始,
Save,保存,
Quit,退出,
Collection,收藏品,
Action,行动,
Lure,鱼饵,
Fishing,钓鱼,
Formatting,正在格式化,
Slot A,插槽A,官中省略槽位；译文可写「插槽A」
