key,cn,comment
zel_00/1,检查插槽A存储卡…,
zel_00/2,插槽A无存储卡。\n请检查存储卡槽。,
zel_00/3,插槽A中的存储卡已损坏\n无法使用。<T000036:001e>,
zel_00/4,插槽A的设备不对\n请插入存储卡。<T000036:001e>,
zel_00/5,插槽A中的存储卡\n无法使用。<T000036:001e>,
zel_00/6,插槽A中存储卡的数据\n已损坏。要格式化\n插槽A中的存储卡吗？<T000036:001e>,
zel_00/7,是,
zel_00/8,否,
zel_00/9,插槽A的存储卡上没有足够的\n可用存储块，或者保存的\n文件数量过多。\n本游戏需要1个空闲存档槽\n和12个空闲存储块。<T000036:001e>,
zel_00/10,请在游戏机的菜单中\n打开存储卡画面，\n管理存储卡内容。<T000036:001e>,
zel_00/11,存储卡格式化\n可能失败。<T000036:001e>,
zel_00/12,格式化完成。<T000036:001e>,
zel_00/13,正在格式化…\n<Tff0000:01>请勿触碰插槽A中的\n存储卡或电源按钮。<T000036:001e>,
zel_00/14,格式化将清除这张存储卡上\n目前保存的所有数据。\n仍要格式化吗？<T000036:001e>,
zel_00/15,是,
zel_00/16,否,
zel_00/17,插槽A中的存储卡\n无法用于本游戏。<T000036:001e>,
zel_00/18,要打开游戏机菜单中的存储卡画面吗？\n（也可在关机后重新开机，\n开机时按住A键，\n同样能打开存储卡\n画面。）<T000036:001e>,
zel_00/19,无法保存。\n仍要继续吗？,
zel_00/20,是,
zel_00/21,否,
zel_00/22,要在这张插入插槽A的存储卡上\n为本游戏创建一个\n存档文件吗？<T000036:001e>,
zel_00/23,是,
zel_00/24,否,
zel_00/25,插槽A的存储卡上没有\n本游戏的存档文件。<T000036:001e>,
zel_00/26,创建存档文件时\n可能发生了错误。<T000036:001e>,
zel_00/27,正在创建存档文件。\n<Tff0000:01>请勿触碰插槽A中的\n存储卡或电源按钮。<T000036:001e>,
zel_00/28,存档文件已创建。<T000036:001e>,
zel_00/29,无法保存。插槽A中\n找不到存储卡。请确认\n是否已插入存储卡。<T000036:001e>,
